"den[, 1]","各區寺廟密度"
"三民區",1.92049164586134
"大社區",1.16607986518612
"大寮區",1.16835585585586
"大樹區",1.03014133837754
"小港區",0.770202409193136
"仁武區",1.33034744240704
"內門區",0.376480824576668
"六龜區",0.35537993720591
"左營區",1.70258431661877
"永安區",0.751743381341729
"田寮區",0.420801854117708
"甲仙區",0.346679136365835
"杉林區",0.480752589333446
"岡山區",1.18893415182063
"林園區",2.23006876045345
"阿蓮區",1.29996186778521
"前金區",4.30732784149034
"前鎮區",2.30117098223391
"美濃區",0.54985520479607
"苓雅區",2.57599175682638
"茄萣區",1.7129371161752
"桃源區",0.00107644943916984
"梓官區",3.88041425577966
"鳥松區",1.34186160933936
"湖內區",1.28958658829948
"新興區",7.083586318559
"楠梓區",1.12282984094535
"路竹區",0.949730359163246
"鼓山區",2.44029744514415
"旗山區",0.908973684154898
"旗津區",17.7607760092903
"鳳山區",2.84016592548301
"橋頭區",0.963840557639593
"燕巢區",0.825751204220506
"彌陀區",2.57152911241643
"鹽埕區",9.88630746416214
